DL
N=21 NM=21
FORMAT = FULLMATRIX DIAGONAL PRESENT
LEVEL LABELS:
ACTOR#1
ACTOR#2
ACTOR#3
ACTOR#4
ACTOR#5
ACTOR#6
ACTOR#7
ACTOR#8
ACTOR#9
ACTOR#10
ACTOR#11
ACTOR#12
ACTOR#13
ACTOR#14
ACTOR#15
ACTOR#16
ACTOR#17
ACTOR#18
ACTOR#19
ACTOR#20
ACTOR#21
DATA:
 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1
 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 1
 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 0 0 0
 1 1 0 0 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0 0 1
 1 1 1 0 0 0 0 0 0 1 1 0 0 1 0 1 1 1 1 1 1
 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1
 1 1 1 0 1 1 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0
 0 0 1 0 1 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0
 1 1 1 0 1 0 1 1 1 0 0 0 1 1 1 1 0 1 1 1 0
 1 1 0 1 0 1 0 1 0 0 0 0 0 1 1 0 1 1 0 1 1
 1 1 1 0 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 1 0
 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 0 1 1 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1
 1 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0
 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1
 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 1 0
